5/8/2019, 11:18:11 AM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,1.214,-3.32E-09,,
,1.216,-3.37E-09,,
,1.218,-3.41E-09,,
,1.22,-3.46E-09,,
,1.222,-3.51E-09,,
,1.224,-3.57E-09,,
,1.226,-3.62E-09,,
,1.228,-3.69E-09,,
,1.23,-3.76E-09,,
,1.232,-3.83E-09,,
,1.234,-3.91E-09,,
,1.236,-3.98E-09,,
,1.238,-4.05E-09,,
,1.24,-4.13E-09,,
,1.242,-4.23E-09,,
,1.244,-4.37E-09,,
,1.246,-4.52E-09,,
,1.248,-4.66E-09,,
,1.25,-4.78E-09,,
,1.252,-4.88E-09,,
,1.254,-4.97E-09,,
,1.256,-5.05E-09,,
,1.258,-5.13E-09,,
,1.26,-5.20E-09,,
,1.262,-5.27E-09,,
,1.264,-5.34E-09,,
,1.266,-5.40E-09,,
,1.268,-5.44E-09,,
,1.27,-5.48E-09,,
,1.272,-5.51E-09,,
,1.274,-5.53E-09,,
,1.276,-5.56E-09,,
,1.278,-5.58E-09,,
,1.28,-5.60E-09,,
,1.282,-5.62E-09,,
,1.284,-5.64E-09,,
,1.286,-5.66E-09,,
,1.288,-5.67E-09,,
,1.29,-5.68E-09,,
,1.292,-5.69E-09,,
,1.294,-5.70E-09,,
,1.296,-5.71E-09,,
,1.298,-5.71E-09,,
,1.3,-5.72E-09,,
,1.302,-5.72E-09,,
,1.304,-5.72E-09,,
,1.306,-5.71E-09,,
,1.308,-5.71E-09,,
,1.31,-5.70E-09,,
,1.312,-5.69E-09,,
,1.314,-5.68E-09,,
,1.316,-5.67E-09,,
,1.318,-5.66E-09,,
,1.32,-5.65E-09,,
,1.322,-5.63E-09,,
,1.324,-5.61E-09,,
,1.326,-5.60E-09,,
,1.328,-5.58E-09,,
,1.33,-5.56E-09,,
,1.332,-5.54E-09,,
,1.334,-5.52E-09,,
,1.336,-5.50E-09,,
,1.338,-5.47E-09,,
,1.34,-5.45E-09,,
,1.342,-5.42E-09,,
,1.344,-5.40E-09,,
,1.346,-5.37E-09,,
,1.348,-5.34E-09,,
,1.35,-5.31E-09,,
,1.352,-5.29E-09,,
,1.354,-5.26E-09,,
,1.356,-5.23E-09,,
,1.358,-5.20E-09,,
,1.36,-5.18E-09,,
,1.362,-5.15E-09,,
,1.364,-5.12E-09,,
,1.366,-5.10E-09,,
,1.368,-5.07E-09,,
,1.37,-5.04E-09,,
,1.372,-5.02E-09,,
,1.374,-4.99E-09,,
,1.376,-4.96E-09,,
,1.378,-4.94E-09,,
,1.38,-4.91E-09,,
,1.382,-4.89E-09,,
,1.384,-4.86E-09,,
,1.386,-4.84E-09,,
,1.388,-4.81E-09,,
,1.39,-4.79E-09,,
,1.392,-4.76E-09,,
,1.394,-4.74E-09,,
,1.396,-4.72E-09,,
,1.398,-4.70E-09,,
,1.4,-4.68E-09,,
,1.402,-4.65E-09,,
,1.404,-4.63E-09,,
,1.406,-4.61E-09,,
,1.408,-4.59E-09,,
,1.41,-4.57E-09,,
,1.412,-4.55E-09,,
,1.414,-4.54E-09,,
,1.416,-4.52E-09,,
,1.418,-4.51E-09,,
,1.42,-4.49E-09,,
,1.422,-4.48E-09,,
,1.424,-4.47E-09,,
,1.426,-4.46E-09,,
,1.428,-4.45E-09,,
,1.43,-4.45E-09,,
,1.432,-4.44E-09,,
,1.434,-4.44E-09,,
,1.436,-4.43E-09,,
,1.438,-4.43E-09,,
,1.44,-4.43E-09,,
,1.442,-4.43E-09,,
,1.444,-4.44E-09,,
,1.446,-4.44E-09,,
,1.448,-4.45E-09,,
,1.45,-4.46E-09,,
,1.452,-4.47E-09,,
,1.454,-4.48E-09,,
,1.456,-4.49E-09,,
,1.458,-4.51E-09,,
,1.46,-4.53E-09,,
,1.462,-4.55E-09,,
,1.464,-4.57E-09,,
,1.466,-4.60E-09,,
,1.468,-4.63E-09,,
,1.47,-4.65E-09,,
,1.472,-4.68E-09,,
,1.474,-4.71E-09,,
,1.476,-4.76E-09,,
,1.478,-4.84E-09,,
,1.48,-4.94E-09,,
,1.482,-5.06E-09,,
,1.484,-5.18E-09,,
,1.486,-5.30E-09,,
,1.488,-5.42E-09,,
,1.49,-5.55E-09,,
,1.492,-5.67E-09,,
,1.494,-5.80E-09,,
,1.496,-5.91E-09,,
,1.498,-6.01E-09,,
,1.5,-6.07E-09,,
,1.502,-6.11E-09,,
,1.504,-6.12E-09,,
,1.506,-6.13E-09,,
,1.508,-6.14E-09,,
,1.51,-6.14E-09,,
,1.512,-6.14E-09,,
,1.514,-6.14E-09,,
,1.516,-6.14E-09,,
,1.518,-6.14E-09,,
