5/7/2019, 11:19:22 AM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,1.534,-7.87E-11,,
,1.536,-7.70E-11,,
,1.538,-7.58E-11,,
,1.54,-7.53E-11,,
,1.542,-7.58E-11,,
,1.544,-7.62E-11,,
,1.546,-7.65E-11,,
,1.548,-7.61E-11,,
,1.55,-7.53E-11,,
,1.552,-7.39E-11,,
,1.554,-7.23E-11,,
,1.556,-7.14E-11,,
,1.558,-7.13E-11,,
,1.56,-7.17E-11,,
,1.562,-7.22E-11,,
,1.564,-7.21E-11,,
,1.566,-7.11E-11,,
,1.568,-6.95E-11,,
,1.57,-6.77E-11,,
,1.572,-6.62E-11,,
,1.574,-6.52E-11,,
,1.576,-6.50E-11,,
,1.578,-6.50E-11,,
,1.58,-6.48E-11,,
,1.582,-6.38E-11,,
,1.584,-6.23E-11,,
,1.586,-6.04E-11,,
,1.588,-5.89E-11,,
,1.59,-5.79E-11,,
,1.592,-5.78E-11,,
,1.594,-5.78E-11,,
,1.596,-5.79E-11,,
,1.598,-5.74E-11,,
,1.6,-5.63E-11,,
,1.602,-5.49E-11,,
,1.604,-5.34E-11,,
,1.606,-5.26E-11,,
,1.608,-5.25E-11,,
,1.61,-5.28E-11,,
,1.612,-5.34E-11,,
,1.614,-5.33E-11,,
,1.616,-5.27E-11,,
,1.618,-5.14E-11,,
,1.62,-5.02E-11,,
,1.622,-4.92E-11,,
,1.624,-4.90E-11,,
,1.626,-4.95E-11,,
,1.628,-5.06E-11,,
,1.63,-5.12E-11,,
,1.632,-5.14E-11,,
,1.634,-5.10E-11,,
,1.636,-5.05E-11,,
,1.638,-4.99E-11,,
,1.64,-5.02E-11,,
,1.642,-5.14E-11,,
,1.644,-5.33E-11,,
,1.646,-5.50E-11,,
,1.648,-5.61E-11,,
,1.65,-5.65E-11,,
,1.652,-5.67E-11,,
,1.654,-5.67E-11,,
,1.656,-5.77E-11,,
,1.658,-5.93E-11,,
,1.66,-6.18E-11,,
,1.662,-6.42E-11,,
,1.664,-6.62E-11,,
,1.666,-6.77E-11,,
,1.668,-6.87E-11,,
,1.67,-6.98E-11,,
,1.672,-7.14E-11,,
,1.674,-7.35E-11,,
,1.676,-7.66E-11,,
,1.678,-7.96E-11,,
,1.68,-8.27E-11,,
,1.682,-8.51E-11,,
,1.684,-8.70E-11,,
,1.686,-8.84E-11,,
,1.688,-9.01E-11,,
,1.69,-9.28E-11,,
,1.692,-9.64E-11,,
,1.694,-1.01E-10,,
,1.696,-1.05E-10,,
,1.698,-1.08E-10,,
,1.7,-1.11E-10,,
,1.702,-1.14E-10,,
,1.704,-1.17E-10,,
,1.706,-1.20E-10,,
,1.708,-1.24E-10,,
,1.71,-1.29E-10,,
,1.712,-1.34E-10,,
,1.714,-1.39E-10,,
,1.716,-1.43E-10,,
,1.718,-1.47E-10,,
,1.72,-1.51E-10,,
,1.722,-1.55E-10,,
,1.724,-1.60E-10,,
,1.726,-1.66E-10,,
,1.728,-1.73E-10,,
,1.73,-1.79E-10,,
,1.732,-1.84E-10,,
,1.734,-1.89E-10,,
,1.736,-1.93E-10,,
,1.738,-1.98E-10,,
,1.74,-2.04E-10,,
,1.742,-2.10E-10,,
,1.744,-2.16E-10,,
,1.746,-2.23E-10,,
,1.748,-2.28E-10,,
,1.75,-2.33E-10,,
,1.752,-2.37E-10,,
,1.754,-2.41E-10,,
,1.756,-2.46E-10,,
,1.758,-2.52E-10,,
,1.76,-2.57E-10,,
,1.762,-2.63E-10,,
,1.764,-2.68E-10,,
,1.766,-2.72E-10,,
,1.768,-2.76E-10,,
,1.77,-2.79E-10,,
,1.772,-2.82E-10,,
,1.774,-2.86E-10,,
,1.776,-2.91E-10,,
,1.778,-2.95E-10,,
,1.78,-2.99E-10,,
,1.782,-3.03E-10,,
,1.784,-3.05E-10,,
,1.786,-3.07E-10,,
,1.788,-3.08E-10,,
,1.79,-3.11E-10,,
,1.792,-3.14E-10,,
,1.794,-3.17E-10,,
,1.796,-3.20E-10,,
,1.798,-3.22E-10,,
,1.8,-3.23E-10,,
,1.802,-3.23E-10,,
,1.804,-3.24E-10,,
,1.806,-3.24E-10,,
